fsu_serial_no,sector,secon_stage_stratum,household_id,insurance_premium,usual_monthly_consumer_exp
85571,1,2,5,0,14850
85571,1,2,6,3000,17483
85571,1,3,7,3500,16617
85571,1,3,8,0,15850
85573,1,1,1,0,21517
85573,1,1,2,0,11075
85573,1,1,3,0,9433
85573,1,1,4,0,10817
85573,1,2,5,0,16633
85573,1,2,6,0,14467
85573,1,3,7,0,18000
85573,1,3,8,0,16525
85570,1,1,1,0,16492
85570,1,1,2,0,18425
85570,1,2,3,0,14783
85570,1,2,4,0,15092
85570,1,2,5,0,14317
85570,1,2,6,0,20508
85570,1,3,7,0,15117
85570,1,3,8,0,9825
85579,1,1,1,0,14500
85579,1,1,2,0,15625
85579,1,2,3,0,7292
85579,1,2,4,0,11958
85579,1,2,5,0,8050
85579,1,2,6,0,4167
85579,1,3,7,0,4433
85579,1,3,8,0,8592
85574,1,1,1,0,23583
85574,1,1,2,0,10875
85574,1,2,3,0,10417
85574,1,2,4,0,10083
85574,1,2,5,0,8850
85574,1,2,6,0,10667
85574,1,3,7,0,8583
85574,1,3,8,0,10250
85565,1,1,1,0,14025
85565,1,1,2,0,13746
85565,1,2,3,0,10546
85565,1,2,4,0,17750
85565,1,2,5,0,19308
85565,1,2,6,0,19183
85565,1,3,7,0,12254
85565,1,3,8,0,10792
85568,1,1,1,0,25000
85568,1,1,2,0,17750
85568,1,2,3,0,19250
85568,1,2,4,0,17092
85568,1,2,5,0,15458
85568,1,2,6,0,20033
85568,1,3,7,0,20750
85568,1,3,8,0,15042
85567,1,1,1,0,13967
85567,1,1,2,0,54000
85567,1,1,3,0,63300
85567,1,2,4,0,38783
85567,1,2,5,0,33917
85567,1,2,6,0,29750
85567,1,3,7,0,28717
85567,1,3,8,0,34250
85566,1,1,1,0,20583
85566,1,1,2,0,23583
85566,1,2,3,0,14333
85566,1,2,4,0,42333
85566,1,2,5,0,23667
85566,1,2,6,0,36000
85566,1,3,7,0,20500
85566,1,3,8,0,10792
85562,1,1,1,0,2683
85562,1,1,2,0,22775
85562,1,2,3,0,12708
85562,1,2,4,0,6275
85562,1,2,5,0,3500
85562,1,2,6,0,18208
85562,1,3,7,0,8621
85562,1,3,8,0,11417
85561,1,1,1,0,15000
85561,1,1,2,0,17200
85561,1,2,3,0,10008
85561,1,2,4,0,10067
85561,1,2,5,0,9008
85561,1,2,6,0,19942
85561,1,3,7,0,13950
85561,1,3,8,0,9975
85563,1,1,1,0,20400
85563,1,2,2,0,22600
85563,1,2,3,0,20383
85563,1,2,4,0,17950
85563,1,2,5,0,12083
85563,1,2,6,0,17367
85563,1,3,7,0,14667
85563,1,3,8,0,17000
85560,1,1,1,0,27900
85560,1,1,2,0,10583
85560,1,1,3,0,17300
85560,1,2,4,0,17600
85560,1,2,5,0,15667
85560,1,3,6,0,9500
85560,1,3,7,0,21950
85560,1,3,8,0,12167
85569,1,1,1,0,17100
85569,1,1,2,0,10967
85569,1,2,3,0,16833
85569,1,2,4,0,30800
85569,1,2,5,0,15117
85569,1,2,6,0,18033
85569,1,3,7,0,9000
85569,1,3,8,0,10683
85564,1,1,1,0,19950
85564,1,1,2,0,18971
85564,1,1,3,0,16500
85564,1,2,4,0,16850
85564,1,2,5,0,20633
85564,1,2,6,0,20704
85564,1,3,7,0,12817
85564,1,3,8,0,14683
85525,1,1,1,0,11792
85525,1,1,2,0,9292
85525,1,1,3,0,11042
85525,1,1,4,0,18100
85525,1,2,5,0,8250
85525,1,2,6,0,12217
85525,1,3,7,0,10583
85525,1,3,8,0,10050
85528,1,1,1,0,22263
85528,1,1,2,0,22213
85528,1,2,3,0,11942
85528,1,2,4,0,20650
85528,1,2,5,0,15625
85528,1,2,6,0,23275
85528,1,3,7,0,23675
85528,1,3,8,0,17564
85527,1,1,1,0,14150
85527,1,1,2,0,14083
85527,1,2,3,0,14817
85527,1,2,4,0,13917
85527,1,2,5,0,14700
85527,1,2,6,0,10033
85527,1,3,7,0,17917
85527,1,3,8,0,13017
85526,1,1,1,0,16917
85526,1,1,2,0,18567
85526,1,2,3,0,14733
85526,1,2,4,0,16917
85526,1,2,5,0,14533
85526,1,2,6,0,10083
85526,1,3,7,0,13250
85526,1,3,8,0,13717
85522,1,1,1,0,12667
85522,1,1,2,0,16147
85522,1,2,3,0,18583
85522,1,2,4,0,8875
85522,1,2,5,0,8917
85522,1,2,6,0,8150
85522,1,3,7,0,13950
85522,1,3,8,0,9533
85521,1,1,1,0,25925
85521,1,1,2,0,7967
85521,1,2,3,0,9667
85521,1,2,4,0,6050
85521,1,2,5,0,9800
85521,1,2,6,0,9083
85521,1,3,7,0,20500
85521,1,3,8,0,9083
85523,1,1,1,0,9508
85523,1,1,2,0,13050
85523,1,2,3,0,11958
85523,1,2,4,0,4758
85523,1,2,5,0,11473
85523,1,2,6,0,13250
85523,1,3,7,0,8708
85523,1,3,8,0,11225
85520,1,1,1,0,17967
85520,1,1,2,0,15275
85520,1,2,3,0,16633
85520,1,2,4,0,19815
85520,1,2,5,0,17192
85520,1,2,6,0,17267
85520,1,3,7,0,16617
85520,1,3,8,0,18153
85529,1,1,1,0,18550
85529,1,1,2,0,21500
85529,1,2,3,0,9242
85529,1,2,4,0,19650
85529,1,2,5,0,13592
85529,1,2,6,0,4458
85529,1,3,7,0,14792
85529,1,3,8,0,10483
85524,1,1,1,0,11842
85524,1,1,2,0,14800
85524,1,2,3,0,14750
85524,1,2,4,0,14800
85524,1,2,5,0,15583
85524,1,2,6,0,10900
85524,1,3,7,0,12833
85524,1,3,8,0,15100
85515,1,1,1,0,11117
85515,1,1,2,0,13933
85515,1,2,3,0,18583
85515,1,2,4,0,7733
85515,1,2,5,0,12950
85515,1,2,6,0,15133
85515,1,3,7,0,18867
85515,1,3,8,0,33833
85518,1,1,1,0,18958
85518,1,1,2,0,18375
85518,1,2,3,0,14863
85518,1,2,4,0,11967
85518,1,2,5,0,16858
85518,1,2,6,0,13192
85518,1,3,7,0,13173
85518,1,3,8,0,14633
85517,1,1,1,0,13608
85517,1,1,2,0,17252
85517,1,2,3,0,16567
85517,1,2,4,0,15075
85517,1,2,5,0,14400
85517,1,2,6,0,15542
85517,1,3,7,0,13742
85517,1,3,8,0,13370
85516,1,1,1,0,11667
85516,1,1,2,0,10517
85516,1,2,3,0,14133
85516,1,2,4,0,13667
85516,1,2,5,0,10700
85516,1,2,6,0,14167
85516,1,3,7,0,16833
85516,1,3,8,0,15167
85512,1,1,1,0,9017
85512,1,1,2,0,7317
85512,1,2,3,0,12042
85512,1,2,4,0,10208
85512,1,2,5,0,10825
85512,1,2,6,0,11833
85512,1,3,7,0,14833
85512,1,3,8,0,10683
85511,1,1,1,0,15000
85511,1,1,2,0,7597
85511,1,2,3,0,8050
85511,1,2,4,0,8067
85511,1,2,5,0,10983
85511,1,2,6,0,11117
85511,1,3,7,0,10300
85511,1,3,8,0,9217
85513,1,1,1,0,10617
85513,1,1,2,0,15375
85513,1,2,3,0,9592
85513,1,2,4,0,11867
85513,1,2,5,0,17000
85513,1,2,6,0,15200
85513,1,3,7,0,18450
85513,1,3,8,0,14967
85510,1,1,1,0,13300
85510,1,1,2,0,9733
85510,1,2,3,0,4100
85510,1,2,4,0,10792
85510,1,2,5,0,8450
85510,1,2,6,0,10067
85510,1,3,7,0,13300
85510,1,3,8,0,11942
85519,1,1,1,0,14500
85519,1,1,2,0,7867
85519,1,2,3,0,11533
85519,1,2,4,0,12200
85519,1,2,5,0,11450
85519,1,2,6,0,11617
85519,1,3,7,0,16792
85519,1,3,8,0,12433
85514,1,1,1,0,15483
85514,1,1,2,0,13000
85514,1,2,3,0,16200
85514,1,2,4,0,13117
85514,1,2,5,0,12833
85514,1,2,6,0,11183
85514,1,3,7,0,16183
85514,1,3,8,0,11900
85535,1,1,1,0,10067
85535,1,1,2,0,12850
85535,1,2,3,0,13583
85535,1,2,4,0,12233
85535,1,2,5,0,9917
85535,1,2,6,0,12850
85535,1,3,7,0,13833
85535,1,3,8,0,12183
85538,1,1,1,0,26625
85538,1,1,2,0,21942
85538,1,2,3,0,27167
85538,1,2,4,0,9733
85538,1,2,5,0,32350
85538,1,2,6,0,17200
85538,1,3,7,0,25500
85538,1,3,8,0,4625
85537,1,1,1,0,15950
85537,1,1,2,0,16317
85537,1,1,3,0,16533
85537,1,1,4,0,15992
85537,1,2,5,0,13800
85537,1,2,6,0,17283
85537,1,3,7,0,19833
85537,1,3,8,0,17700
85536,1,1,1,0,20325
85536,1,1,2,0,32100
85536,1,2,3,0,22333
85536,1,2,4,0,21500
85536,1,2,5,0,31617
85536,1,2,6,0,19217
85536,1,3,7,0,19267
85536,1,3,8,0,23750
85532,1,1,1,0,28667
85532,1,1,2,0,38483
85532,1,2,3,0,46367
85532,1,2,4,0,23075
85532,1,2,5,0,17917
85532,1,2,6,0,27583
85532,1,3,7,0,10725
85532,1,3,8,0,24933
85531,1,1,1,0,16917
85531,1,1,2,0,11200
85531,1,2,3,0,11067
85531,1,2,4,0,7783
85531,1,2,5,0,12617
85531,1,2,6,0,12150
85531,1,3,7,0,17325
85531,1,3,8,0,12125
85533,1,1,1,0,20583
85533,1,1,2,0,12217
85533,1,2,3,0,14792
85533,1,2,4,0,18517
85533,1,2,5,0,15875
85533,1,2,6,0,11208
85533,1,3,7,0,18558
85533,1,3,8,0,20850
85530,1,1,1,0,18792
85530,1,1,2,0,24250
85530,1,2,3,0,25792
85530,1,2,4,0,16792
85530,1,2,5,0,18708
85530,1,2,6,0,27292
85530,1,3,7,0,13167
85530,1,3,8,0,14708
85539,1,1,1,0,26933
85539,1,1,2,0,34000
85539,1,2,3,0,21458
85539,1,2,4,0,25467
85539,1,2,5,0,22025
85539,1,2,6,0,26742
85539,1,3,7,0,26883
85539,1,3,8,0,15717
85534,1,1,1,0,12617
85534,1,1,2,0,19767
85534,1,2,3,0,16350
85534,1,2,4,0,22207
85534,1,2,5,0,13247
85534,1,2,6,0,16867
85534,1,3,7,0,19100
85534,1,3,8,0,22008
85505,1,1,1,0,17367
85505,1,1,2,0,23500
85505,1,2,3,0,14667
85505,1,2,4,0,17367
85505,1,2,5,0,17783
85505,1,2,6,0,18467
85505,1,3,7,0,23300
85505,1,3,8,0,14300
85508,1,1,1,0,16050
85508,1,1,2,0,12400
85508,1,2,3,0,14000
85508,1,2,4,0,14575
85508,1,2,5,0,15900
85508,1,2,6,0,16600
85508,1,3,7,0,14550
85508,1,3,8,0,14225
85507,1,1,1,0,31583
85507,1,1,2,0,26833
85507,1,2,3,0,43292
85507,1,2,4,0,29833
85507,1,2,5,0,29833
85507,1,2,6,0,31333
85507,1,3,7,0,39608
85507,1,3,8,0,21583
85506,1,1,1,0,20833
85506,1,1,2,0,10667
85506,1,2,3,0,18792
85506,1,2,4,0,9700
85506,1,2,5,0,15533
85506,1,2,6,0,18483
85506,1,3,7,0,12650
85506,1,3,8,0,13283
85502,1,1,1,0,56333
85502,1,1,2,0,47817
85502,1,2,3,0,9233
85502,1,2,4,0,35800
85502,1,2,5,0,31275
85502,1,2,6,0,10279
85502,1,3,7,0,15825
85502,1,3,8,0,21887
85501,1,1,1,0,27250
